,game,model,experiment,episode,metric,value
210,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Request Count,15.0
211,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Parsed Request Count,3.0
212,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Violated Request Count,12.0
213,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Request Success Ratio,0.2
214,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Aborted,0.0
215,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Lose,1.0
216,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Success,0.0
217,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,Main Score,0.0
218,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,quality_score,0.0
219,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,binary_success,0.0
220,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,binary_accuracy,0.0
221,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,efficiency,0.0
222,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,efficiency_raw,0.0
223,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,tolerance_used,0.0
224,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00105,n_test_cases,100.0
225,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Request Count,15.0
226,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Parsed Request Count,1.0
227,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Violated Request Count,14.0
228,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Request Success Ratio,0.06666666666666667
229,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Aborted,0.0
230,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Lose,1.0
231,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Success,0.0
232,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,Main Score,0.0
233,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,quality_score,0.0
234,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,binary_success,0.0
235,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,binary_accuracy,0.0
236,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,efficiency,0.0
237,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,efficiency_raw,0.0
238,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,tolerance_used,0.0
239,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00069,n_test_cases,100.0
240,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00075,Request Count,15.0
241,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00075,Parsed Request Count,3.0
242,function_detective,Qwen3.6-35B-A3B-FP8,string_passive_labeled_pairs,instance_00075,Violated Request Count,12.0
